;doc_id;relation;used;used_Felix;Anmerkung;ner;sentence;pre_sentence;post_sentence;section_name;section_index
30875;10203151008a20b32ce089f7f9d580005c2426cf;Method;0;0;;convolutional layer activations;In particular for image retrieval , Babenko et al . and Gong et al . concurrently propose the use of Fully Connected ( FC ) layer activations as descriptors , while convolutional layer activations are later shown to have superior performance .;Using CNN layer activations as off - the - shelf image descriptors appears very effective and is adopted in many tasks .;Generalization to other tasks is attained by CNN activations , at least up to some extent .;Introduction;1
97801;4087ebc37a1650dbb5d8205af0850bee74f3784b;Method;1;1;;weight initialization;A poor weight initialization may take longer to train and / or converge to sub - optimal solutions .;Optimal parameter initialization remains a crucial problem for neural network training .;Here , we propose a method of weight re - initialization by repeated annealing and injection of noise in the training process .;Abstract;1
54406;220a0b46840a2a1421c62d3d343397ab087a3f17;Method;0;0;;Spatio - temporal filters;Spatio - temporal filters .;Of course spatial pyramids are widely used in other areas of computer vision and have recently been used in deep neural networks to learn generative image models .;Burt and Adelson lay out the theory of spatio - temporal models for motion estimation and Heeger provides a computational embodiment .;Related Work;2
103733;435259c5f3cffd75ef837a8e638cc8f6244e25c4;Method;0;0;;sliding - window strategy;A naive approach follows a sliding - window strategy , where regions defined by the window are processed independently .;Originally designed for image recognition and classification , CNNs are now commonly used in semantic image segmentation .;As explained before , this technique presents two main drawbacks : reduction of segmentation accuracy and low efficiency .;Methods;4
17186;0a053f55804eee01f3c8b4138a1d3364d5bc45ac;Method;0;0;;Neural LP;IRN and Neural LP explore multi - step relations by using an RNN controller with attention over an external memory .;Hence , recent works have proposed approaches for injecting multi - step paths such as random walks through sequences of triples during training , further improving performance on KBC tasks .;Compared to RL - based approaches , it is hard to interpret the traversal paths , and these models can be computationally expensive to access the entire graph in memory .;Knowledge Base Completion;15
38388;15cc54ed7b1582b2efd71bedf28b23634d82991b;Method;1;1;;MMD - rep - b;[ reference ] shows that : When PICO was used , the hinge , MMD - rbf and MMD - rep methods were sensitive to the choices of while MMD - rep - b was robust .;Fig .;For hinge and MMD - rbf , higher may result in better FID scores and less diverged cases over 16 learning rate combinations .;Experiments;37
27104;0ee850dd6640a96531ac5ad21da5438db04d8b3c;Method;1;1;;deep neural ranking models;In particular , we use classic unsupervised IR models as a weak supervision signal for training deep neural ranking models .;To overcome this issue , in this paper , we propose to leverage large amounts of unsupervised data to infer “ noisy ” or “ weak ” labels and use that signal for learning supervised models as if we had the ground truth labels .;Weak supervision here refers to a learning approach that creates its own training data by heuristically retrieving documents for a large query set .;Introduction;1
25448;0d5fa5be4bfe085de8f88dbee1c3b2a6e5ab9ee2;Method;1;1;;gradual feature fusion steps;With proposed gradual feature fusion steps and cascade label guidance structure , we produce decent prediction results .;[ reference ] and [ reference ] show the visual results of ICNet on Cityscapes .;Intriguingly , output of the ‘ sub4 ’ branch can already capture most of semantically meaningful objects .;Visual Improvement;24
12675;071b16f25117fb6133480c6259227d54fc2a5ea0;Method;0;0;;long short - term memory ( LSTM ) unit;This gated unit is similar to a long short - term memory ( LSTM ) unit proposed earlier by , sharing with it the ability to better model and learn long - term dependencies .;The gated hidden unit is an alternative to the conventional simple units such as an element - wise .;This is made possible by having computation paths in the unfolded RNN for which the product of derivatives is close to 1 .;Recurrent Neural Network;23
72738;2e10643c3759f97b673ff8c297778c0b6c20032b;Method;1;1;;distributed word representation;Comparing with traditional models , this suggests such a simple use of a distributed word representation may not give us an advantage to text classification .;One of the most obvious facts one could observe from table [ reference ] and figure [ reference ] is that the bag - of - means model performs worse in every case .;However , our experiments does not speak for any other language processing tasks or use of word2vec in any other way .;Discussion;12
107712;46018a894d533813d67322827ca51f78aed6d59e;Method;1;1;;basic model;The segmentation results on two subjects from our validation set , produced by different variations of the basic model can be viewed in Figure [ reference ] .;However , we can study the impact these features have on predictions by visualizing the segmentation results of different models .;As shown in the figure , the two - phase training procedure allows the model to learn from a more realistic distribution of labels and thus removes false positives produced by the model which trains with one training phase .;The TwoPathCNN architecture;14
4393;027f9695189355d18ec6be8e48f3d23ea25db35d;Method;0;0;;Concrete distribution;Gumbel - Softmax ( Jang , Gu , and Poole 2017 ) ( or Concrete distribution [ reference ] ) is a method of utilizing discrete random variables in a network .;;Since it approximates one - hot vectors sampled from a categorical distribution by making them continuous , gradients of model parameters can be calculated using the reparameterization trick and the standard backpropagation .;Gumbel - Softmax;6
13557;07c4fc48ad7b7d1a417b0bb72d0ae2d4efc5aa83;Method;0;0;;convolution window size;subsection : Filter dilation and convolution window size;In particular , in our experiments we always alternate and .;Filter dilation , as introduced in , is a technique for aggregating multiscale information across considerably larger receptive fields in convolution operations , while avoiding an explosion in parameter count for the convolution kernels .;Filter dilation and convolution window size;5
5922;03184ac97ebf0724c45a29ab49f2a8ce59ac2de3;Method;1;1;;Attribute representations;Attribute representations are defined as a vector per class , or a column of the ( class attribute ) matrix .;Discrete vs Continuous Attributes .;These vectors ( 85 - dim for AWA , 312 - dim for CUB ) can either model the presence / absence ( ) or the confidence level ( ) of each attribute .;Experimental Results;13
34427;12f008bea798a05ebfa2864ec026999cb375bcd9;Method;1;1;?;AS Reader;Lastly , on CBT - CN the GA Reader with the qe - comm feature outperforms all previously published single models except the NSE , and AS Reader trained on a larger corpus .;For CBT - NE , GA Reader with the qe - comm feature outperforms all previous single and ensemble models except the AS Reader trained on the much larger BookTest Corpus bajgar2016embracing .;For each of the 4 datasets on which GA achieves the top performance , we conducted one - sample proportion tests to test whether GA is significantly better than the second - best baseline .;Performance Comparison;11
4893;02a5b7a41ffa8518eb3b7cae9914a2bd2bbc886b;Method;1;1;;Min - max strategy;To initialise SiamMask , we extract the axis - aligned bounding box ( Min - max strategy , Figure 3 ) from the mask provided in the first frame .;For each measure C ∈ { J , F } , three statistics are considered : mean C M , recall C O , and decay C D , which informs us about the gain / loss of performance over time [ reference ] .;Similarly to most VOS methods , in case of multiple objects in the same video ( DAVIS - 2017 ) we simply perform multiple inferences .;Evaluation for semi - supervised VOS;12
61151;25c108a56e4cb757b62911639a40e9caf07f1b4f;Method;1;1;;shallow version;The structure of our model is a shallow version of the ResNet where the first seven ResNet blocks are used , i.e. , from conv1 to res3c .;All faces are labelled with bounding boxes and five landmarks .;We use this model in scale - forecast network and LRN .;Setup and Implementation Details;9
