method;aliases
Voronoi diagram;Thiessen polygon method
Voronoi diagram;Thiessen polygons
Voronoi diagram;Voronoi diagrams
Voronoi diagram;Voronoi polygons
common subexpression elimination;CSE
multiversion concurrency control;MVCC
Group decision support systems;Decision Support Systems
compass and straightedge construction;classical construction
compass and straightedge construction;compass and straightedge constructions
compass and straightedge construction;ruler-and-compass construction
pattern recognition;automated pattern recognition
pattern recognition;Pattern Recognition, Automated
SHA hash functions;Secure Hash Algorithm
Local outlier factor;Local Outlier Factor
Aho–Corasick string matching algorithm;Aho–Corasick algorithm
image scaling;superresolution
image scaling;downscaling
image scaling;image interpolation
image scaling;image resizing
image scaling;image super-resolution
image scaling;resolution enhancement
image scaling;super-resolution
image scaling;upscaling
second quantization;Second quantization
nearest neighbour algorithm;nearest-neighbour algorithm
Rabin–Karp algorithm;Rabin-Karp string search algorithm
XTEA;eXtended TEA
Metaheuristic;OT
bogosort;stupid sort
bogosort;slowsort
bogosort;monkey sort
bogosort;random sort
bogosort;shotgun sort
Quantitative Structure–Activity Relationship;QSAR
Quantitative Structure–Activity Relationship;Quantitative Structure-Activity Relationship
Scale-invariant feature transform;SIFT
autoencoder;VAE
autoencoder;autoencoders
linear search;sequential search
Grover's algorithm;Grover database search algorithm
Grover's algorithm;Grover's search algorithm
blossom algorithm;Edmonds's matching algorithm
HITS algorithm;hubs and authorities
HITS algorithm;Hyperlink-Induced Topic Search
semi-supervised learning;semisupervised learning
Feistel cipher;Feistel network
Feistel cipher;Feistel structure
mutual exclusion;mutex
Floyd–Warshall algorithm;Warshall–Floyd Algorithm
Gram-Schmidt process;Gram-Schmidt orthonormalization
Gram-Schmidt process;Gram–Schmidt orthonormalization
Gram-Schmidt process;Gram–Schmidt process
linear search;line seacrch
backpropagation;BP
backpropagation;backprop
backpropagation;backward propagation of errors
Bootstrap aggregating;Bagging
Bootstrap aggregating;Bootstrap_aggregating
FEAL;Fast Data Encipherment Algorithm
FORDEC;FOR-DEC
introsort;introspective sort
logical clock;logical clock algorithm
SKIPJACK;Skipjack
leader election;coordinator election
leader election;coordinator election algorithm
leader election;election algorithm
leader election;leader election algorithm
Least mean squares filter;Least Mean Square Filter
recurrent neural network;RNN
Borůvka's algorithm;Sollin's algorithm
Perl Compatible Regular Expressions;libpcre
Perl Compatible Regular Expressions;PCRE
simplex algorithm;simplex method
Triple DES;3DES
Triple DES;TDEA
Triple DES;Triple Data Encryption Algorithm
Triple DES;Triple Data Encryption Standard
Triple DES;Triple DEA
sorting algorithm;sorting algorithm
sorting algorithm;asc
sorting algorithm;sort
sorting algorithm;desc
Gauss–Seidel method;Gauss-Seidel method
Gauss–Seidel method;Liebmann method
Gauss–Seidel method;method of successive displacement
k-nearest neighbors algorithm;k-nearest neighbor algorithm
natural language understanding;NLU
natural language understanding;Natural language understanding, NLU
root-finding algorithm;numeric equation solving
root-finding algorithm;root finding algorithm
Caesar cipher;Caesar shift
Caesar cipher;Caesar's cipher
Caesar cipher;Caesar's code
Caesar cipher;shift cipher
bitap algorithm;Baeza-Yates–Gonnet algorithm
bitap algorithm;shift-and algorithm
bitap algorithm;shift-or algorithm
weighted fair queuing;WFQ
Prim's algorithm;DJP algorithm
Prim's algorithm;Jarnik algorithm
Prim's algorithm;Jarník algorithm
Prim's algorithm;Prim–Dijkstra algorithm
Prim's algorithm;Prim–Jarník algorithm
SHACAL;SHACAL-1
SHACAL;SHACAL-2
seam carving;Content Aware Scaling
seam carving;liquid rescaling
LIFO;last in, first out
dead code elimination;DCE
dead code elimination;dead code removal
dead code elimination;dead code strip
dead code elimination;dead code stripping
unsupervised learning;unsupervised machine learning
Bellman–Ford algorithm;Bellman–Ford–Moore algorithm
depth-first search;DFS
depth-first search;depth-first traversal
Hill climbing;Hill climbing, HC
Berlekamp–Massey algorithm;Berlekamp-Massey algorithm
critical path method;CPM
one-time pad;OTP
one-time pad;unconditionally Secure
one-time pad;Vernam cypher
block cipher mode of operation;Block cipher modes of operation
block cipher mode of operation;mode of operation
block cipher mode of operation;modes of operation
Time-based One-time Password Algorithm;TOTP
optical character recognition;OCR
Naive Bayes classifier;Naive Bayes
Bayesian spam filtering;Naive Bayes spam filtering
Beale ciphers;Beale Papers
Beale ciphers;The Beale Papers
Data Encryption Standard;DES
Data Encryption Standard;DEA
Data Encryption Standard;Data Encryption Algorithm
critical path method;CPM (Network analysis)
critical path method;critical path analysis
critical path method;critical path method
Playfair cipher;Playfair system
ray tracing;RTX
kernel method;kernel methods
kernel method;Kernel trick
Quine–McCluskey algorithm;Quine-McCluskey algorithm
futex;fast userspace mutual exclusion
false position method;method of false assumption
false position method;method of false position
false position method;method of single false assumption
false position method;method of single false position
false position method;Regula falsi
false position method;single false position method
Unicode collation algorithm;UCA
Gauss–Newton algorithm;Gauss-Newton method
Wallis product;Wallis' product
natural language generation;text generation
Secure Hash Algorithm 2;SHA-2
Secure Hash Algorithm 2;SHA-224
Secure Hash Algorithm 2;SHA-256
Secure Hash Algorithm 2;SHA-512
Secure Hash Algorithm 2;SHA 2
Secure Hash Algorithm 2;SHA-384
Secure Hash Algorithm 2;SHA2
pathfinding;path-finding
pathfinding;pathing
