paperid,originalaffiliation
385572,Federal University of Santa Catarina
728297,Northeastern University
728297,University of Alberta
954605,University of New Brunswick
1543681,University of Debrecen
1632977,Technical University of Madrid (UPM)
1667234,"College of Information and Electrical Engineering, China Agricultural University, Beijing, China"
1667234,"Department of Information Engineering, Northeast China Institute of Electric Power Engineering, Jilin, China"
1674447,"Dept. of Computer Science, University of Maryland, College Park and Institute for Advanced Computer Studies, University of Maryland, College Park and The iSchool, University of Maryland, College P ...#TAB#"
1674447,"Dept. of Computer Science, University of Maryland, College Park and Institute for Advanced Computer Studies, University of Maryland, College Park#TAB#"
1904356,"Department of Informatics, University of Oslo, Norway#TAB#"
2718646,"Centre for Integrated Emergency Management, University of Agder, Grimstad, Norway and Grenoble Informatics Laboratory, Grenoble 2 University, France#TAB#"
2718646,"Centre for Integrated Emergency Management, University of Agder, Grimstad, Norway#TAB#"
2925925,Machine Intelligence Research Labs (MIR Labs)#TAB#
2925925,"Shandong Provincial Key Laboratory of Network Based Intelligent Computing, University of Jinan, Jinan, China#TAB#"
2925925,"University of Jinan, Jinan, China#TAB#"
2966661,"Department of Computer Science, University of Toronto#TAB#"
3440935,"Arizona State University, Tempe, AZ#TAB#"
3440935,"CNRS UMR 7590, Protein Structure Prediction, IMPMC, Université Pierre et Marie Curie, Paris, France,RPBS, Université Paris Diderot, Paris, France#TAB#"
3540556,"Bournemouth University, Poole, UK and University of Waikato, Hamilton, New Zealand#TAB#"
3540556,"University of Waikato, Hamilton, New Zealand#TAB#"
4703903,"Idiap Research Institute, Martigny, Switzerland and Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland#TAB#"
4703903,"Idiap Research Institute, Martigny, Switzerland#TAB#"
4954057,"Universidad Michoacana de San Nicolas de Hidalgo, México#TAB#"
5535156,National Technical University of Athens
5535156,University of Athens
6325968,"School of Computing, The Robert Gordon University, Aberdeen, United Kingdom#TAB#"
6514950,Massachusetts Institute of Technology
6514950,University of Massachusetts Amherst
6548364,"Institute of Cartography, Dresden University of Technology, Germany"
6548364,"Institute of Software Technology and Interactive Systems, Vienna University of Technology, Austria"
6980574,"LIRMM - CNRS UMR 5506, University Montpellier 2, Montpellier, France#TAB#"
7042436,"College of Computing, Georgia Institute of Technology, Atlanta#TAB#"
7042436,"Department of Computing Science, University of Glasgow, Glasgow, UK#TAB#"
7522122,Computer and Automation Institute HAS
7522122,University of Veszprém
7903576,"Technical University of Dortmund, Artificial Intelligence Group, Dortmund, Germany#TAB#"
7939015,"Dept. of Comp. Sci., University of Illinois at Chicago#TAB#"
7939015,"State Key Lab of Intelligent Tech. & Sys., Dept. of Comp. Sci. & Tech., Tsinghua Univ.#TAB#"
8726526,"Department of Mathematics and Computer Applications, PSG College of Technology, Coimbatore, India#TAB#"
8735340,University of Macedonia
9277050,"Bilkent University Computer Engineering Department, Ankara, Turkey#TAB#"
9405961,"Computer Science Depart., Central Washington University, Ellensburg, USA,"
9405961,"Johnson Graduate School of Management, Cornell University, Ithaca, USA,"
9405961,"Visible Measures Corp., Cambridge, MA, USA,"
9710364,Shenyang Institute of Automation of the Chinese Academy of Sciences
9743498,"Institut für Softwaretechnik und Theoretische Informatik, TU Berlin, Germany#TAB#"
9743498,"The Institute of Mathematical Sciences, Chennai, India#TAB#"
10079273,University of Minnesota
10379689,"Dept. of Computer Science & Engineering, Lehigh University, Bethlehem, USA#TAB#"
10447412,Flanders’ Mechatronics Technology Center (FMTC)
10447412,Ghent University
11153862,"Image and Pattern Analysis Group, Heidelberg Collaboratory for Image Processing, University of Heidelberg, Germany#TAB#"
11189869,"Dentistry and Biomedical Sciences, Queen’s University Belfast"
11189869,Institute for Bioinformatics and Translational Research
11231031,"Royal Holloway, University of London"
11535075,"CRACS-INESC and Faculty of Sciences, University of Porto, Porto, Portugal#TAB#"
11535075,"LIAAD-INESC and Faculty of Economics, University of Porto, Porto, Portugal#TAB#"
11535075,"LIAAD-INESC and ISEP, Polytechnic Institute of Porto, Porto, Portugal#TAB#"
12048870,"Department of ICT, University of Agder, Grimstad, Norway"
12048870,"Institute for ICT, Oslo and Akershus University College of Applied Sciences, Norway"
12312070,National University of Mexico
12433487,Jadavpur University
12783365,National University of Singapore
12783365,University College London
12783365,Yahoo! Research Lab.
13187899,"Machine Vision Group, Department of Electrical and Information Engineering, University of Oulu, Finland and Research Center for Learning Science, Southeast University, China#TAB#"
13187899,"Machine Vision Group, Department of Electrical and Information Engineering, University of Oulu, Finland#TAB#"
13187899,"Research Center for Learning Science, Southeast University, China#TAB#"
13278260,"University of Vienna, Research Group Data Analytics and Computing, Vienna, Austria#TAB#"
13391147,"State Key Laboratory of Software Engineering, Wuhan University, Wuhan Hubei, China"
13563746,Foolad Technic International Engineering Company
13563746,Shiraz University
14220339,Technische Universiteit Delft
14226645,Advanced Technologies Application Center
14317969,IRIT – CNRS
15029578,Dublin Institute of Technology
15257495,"Center for Mind/Brain Sciences, University of Trento, Italy#TAB#"
15257495,"KRDB, Faculty of Computer Science, Free University of Bozen-Bolzano, Italy and Institute of Formal and Applied Linguistics, Faculty of Mathematics and Physics, Charles University in Prague, Czech ...#TAB#"
15257495,"KRDB, Faculty of Computer Science, Free University of Bozen-Bolzano, Italy#TAB#"
15300982,"Department of Artificial Intelligence, VU University Amsterdam, Amsterdam, The Netherlands#TAB#"
15300982,"Faculty of Aerospace Engineering, Delft University of Technology, Delft, The Netherlands#TAB#"
15592756,"I3S --- CNRS UMR 6070, University of Nice Sophia Antipolis, France#TAB#"
15592756,"INRIA Lille-Nord Europe, LIFL CNRS UMR 8022, University of Lille 1, France#TAB#"
15592756,"PReCISE Research Centre, University of Namur, Belgium,INRIA Lille-Nord Europe, LIFL CNRS UMR 8022, University of Lille 1, France#TAB#"
15592756,"PReCISE Research Centre, University of Namur, Belgium#TAB#"
15793533,"School of Computer Science, McGill University, Montreal, Canada#TAB#"
15840349,Computing Center of the Russian Academy of Sciences
15840349,Tula State University
16266776,Technische Universität München
16444800,Université des Sciences et Technologies de Lille and Ecole centrale de Lille#R##N#UFR I.E.E.A.
16444800,"Université des Sciences et Technologies de Lille and Ecole centrale de Lille#R##N#UFR I.E.E.A.#R##N#Bâtiment P2, Bureau 308 UFR I.E.E.A. Cité Scientifique 59655 Villeneuve dÁscq Cedex France"
16586245,"Department of Computer Science, University of Oxford, UK#TAB#"
16586245,"School of Computer Science, University of Birmingham, UK#TAB#"
16665551,Texas A&M University
16922407,"Inst. for Popl. and Dev. Studies, Sch. of Pub. Policy and Admin., Xi'an Jiaotong Univ., Xi'an, Shaanxi Prov., 710049, China and Morrison Inst. for Popl. and Res. Studies, Stanford Univ., Stanford, ...#TAB#"
16922407,"Inst. for Popl. and Dev. Studies, Sch. of Pub. Policy and Admin., Xi'an Jiaotong Univ., Xi'an, Shaanxi Province, 710049, China and Morrison Inst. for Popl. and Res. Studies, Stanford Univ., Stanfo ...#TAB#"
16922407,"Institute for Population and Development Studies, School of Public Policy and Administration, Xi'an Jiaotong University, Xi'an, Shaanxi Province, 710049, China#TAB#"
16922407,"Morrison Institute for Population and Resource Studies, Stanford University, Stanford, California 94305#TAB#"
16954297,Department of Information Systems
17173226,"Universidad Autónoma de Madrid, EPS, Madrid, Spain 28049 and Oregon State University, Corvallis, USA 97331#TAB#"
17173226,"Universidad Autónoma de Madrid, EPS, Madrid, Spain 28049#TAB#"
17499823,"School of Computer Sciences, University of Windsor, Windsor, Ontario, Canada#TAB#"
17530572,University of Liverpool
18365141,"Faculty of Mathematics, University of Vienna, Austria, Wien, Austria#TAB#"
18537560,Northwestern Polytechnical University
18944921,"Intelligent Autonomous Systems, Department of Informatics, Technische Universität München#TAB#"
19366481,"School of Computer Science, Carleton University, Canada and University of Agder, Grimstad, Norway#TAB#"
19366481,"School of Computer Science, University of Windsor, Canada#TAB#"
19427386,Bialystok University of Technology
20067524,"School of Electronic Engineering and Computer Science, Queen Mary University of London, UK#TAB#"
20275845,"INRIA, Parietal Team, Saclay, France,NeuroSpin, CEA Saclay, Gif-sur-Yvette, cedex, France,INSERM U992 Cognitive Neuroimaging Unit, France#TAB#"
20275845,"INRIA, Parietal Team, Saclay, France,NeuroSpin, CEA Saclay, Gif-sur-Yvette, cedex, France#TAB#"
20275845,"NeuroSpin, CEA Saclay, Gif-sur-Yvette, cedex, France,INSERM U992 Cognitive Neuroimaging Unit, France#TAB#"
20967866,NICT Computational Linguistics Group
20967866,Shanghai Jiao Tong University
21394606,Massachusetts Institute of Technology
21628772,"University of the Basque Country, Leioa, Spain#TAB#"
21629796,Novamente LLC#TAB#
21791108,"Max Planck Institute for Biological Cybernetics, Germany"
21791108,"NICTA & The University of Queensland, Australia"
21949312,"Dept. of Engineering Technology and Industrial Distribution, Texas A&M University, College Station, USA#TAB#"
21949312,"Engineering Design Graphics, Texas A&M University, College Station, USA#TAB#"
21949312,"I3BH, Universitat Politècnica de València, València, Spain#TAB#"
22399762,King Abdullah University of Science and Technology
22845204,Xi’an University of Technology
23135574,"Dept. of Computer Science, University of Otago, New Zealand#TAB#"
23411977,Chiba University
23411977,Shanghai Jiao Tong University
23717612,"College of Management, Shenzhen University, Shenzhen, China#TAB#"
23717612,"College of Physics and Technology, Shenyang Normal University, Shenyang, China#TAB#"
23717612,"Laboratory of Information Service and Intelligent Control, Shenyang Institute of Automation, Chinese Academy of Sciences Shenyang, Shenyang, China#TAB#"
24178827,"Structural Complexity Laboratory, Seoul National University, South Korea#TAB#"
24256256,"IRLab, Computer Science Department, University of A Coruña, Spain#TAB#"
24571106,China Agricultural University
24571106,China Agricultural University 209#
24664060,"Department of Computer Science and Technology, Tsinghua University#TAB#"
25089440,Beijing Academy of Agriculture and Forestry Sciences
25089440,China Agricultural University Library
25359693,"School of Computer Science, University of Windsor, Windsor, ON, Canada#TAB#"
25437484,"Baidu Inc., Beijing, China#TAB#"
25437484,"Google Inc., Mountain View, CA#TAB#"
25437484,"NEC Labs America, Cupertino, CA#TAB#"
25437484,"UC Berkeley, Berkeley, CA#TAB#"
25808122,Orange Labs
25877018,University of 17 Agustus 1945 of Surabaya
26016766,IBM T. J. Watson Research Center#TAB#
26016766,"Simon Fraser University, Canada#TAB#"
26115204,"DIIGA, Universitá Politecnica delle Marche, Ancona, Italia#TAB#"
26123270,"Integrated Research Center, Università Campus Bio-Medico di Roma, Roma, Italy#TAB#"
26193740,"Dept. de Arquitectura de Computadores, Electrónica y Tecnología Electrónica, University of Cordoba, Cordoba, Spain#TAB#"
26193740,"Dept. Electrónica y Electromagnetismo, University of Seville, and Microelectronics Institute of Seville, Seville, Spain#TAB#"
26367237,"Computer Science Department, Shanghai Jiao Tong University, Shanghai, China#TAB#"
26527102,ダイハツ工業株式会社
26527102,法政大学理工学部電気電子工学科
26619381,Instituto Nacional de Astrofísica
26619381,Instituto Superior Politécnico José A. Echeverría. Calle 114
26748423,"Machine Vision Group, University of Oulu, Finland FI-90014#TAB#"
27068382,"Post-graduate Information Systems Program, PPGI/UNIRIO, RJ, Brazil#TAB#"
27162936,Carnegie Mellon University; Carnegie Mellon University - H. John Heinz III School of Public Policy and Management; Institute for Software Research - Carnegie Mellon University
27162936,Carnegie Mellon University - School of Computer Science
27678521,"Centro de Innovación y Desarrollo Tecnológico en Cómputo, Instituto Politécnico Nacional, México, D.F.#TAB#"
27678521,"Centro de Investigación en Computación, Instituto Politécnico Nacional, México, D.F.#TAB#"
27793324,"Carnegie Mellon University, Pittsburgh, PA, USA"
27793324,"Google Inc., Mountain View, CA, USA"
27793324,"Yahoo! Labs, Sunnyvale, CA, USA"
29295388,Ionian University
29471193,"Universidad Politécnica de Valencia, Spain"
29546508,"Department of Computer Science, Cornell University#TAB#"
29612862,University of Ulm
29664970,"Centro de Aplicaciones de Tecnologías de Avanzada CENATAV, La Habana, Cuba#TAB#"
29739513,順天堂大学医学部一般教育・化学研究室
29739513,順天堂大学医学部一般教育・外国語研究室
29739513,順天堂大学医学部一般教育・数学研究室
29739513,順天堂大学医学部一般教育・物理学研究室
29739513,順天堂大学医学部一般教育・生物学研究室
29739513,順天堂大学医学部先端放射線治療医学物理学講座
29739513,順天堂大学医学部・哲学
29739513,順天堂大学医学部放射線医学講座
29739513,順天堂大学医学部・数学
29739513,順天堂大学医学部腎臓内科学講座
29739513,順天堂大学医療看護学部化学
30621018,Xiamen University
30874405,Silesian University in Opava
30874405,VŠB Technical University in Ostrava
30921723,"IRIT, F-31062 Toulouse CNRS UMR 5505, F-31062, Toulouse, France F-31062#TAB#"
30921723,"Université Lille - Nord de France, Artois, F-62307 Lens CRIL,F-62307 Lens CNRS UMR 8188, F-62307, Lens, France F-62307#TAB#"
30947277,University Carlos III of Madrid
31279903,"Center for Cognitive and Neural Studies (Coneural), Cluj-Napoca, Romania 400487 and Department of Computer Science, Babeş-Bolyai University, Cluj-Napoca, Romania 400084#TAB#"
31427528,"Federal Federal Center of Technologic Education of Pernambuco, Recife, PE, Brazil#TAB#"
